Observasi_ID,Tanggal_Observasi,Grid_ID,Jenis_Lokasi,Latitude_Dummy,Longitude_Dummy,Persentase_Lumut,Persentase_Vegetasi,Air_Tenang,Paparan_Matahari,Luas_Genangan_m2,Curah_Hujan_30_Hari_mm,Pendatang_30_Hari,Pendatang_Dari_Endemis,Pekerja_Mobil,Riwayat_Perjalanan_Endemis,Skor_Mobilitas_0_100,Kasus_Malaria_1km_30Hari,Jarak_Hutan_m,Jarak_Sawah_m,Jarak_Sungai_m,Jarak_Rawa_m,Jarak_Tambang_m,Jarak_Permukiman_m,Jarak_Puskesmas_m,Habitat_Risk_Score_0_100,Mobility_Risk_Score_0_100,Risiko_Gabungan_0_100,Kategori_Habitat_5,Kategori_Heatmap_4,Foto_Dokumentasi_ID
OBS-HJ-00012,2025-11-13,HJ-G-0819,Permukiman,-3.485135,138.516689,16,17,Ya,Tinggi,0.8,315,5,0,2,0,41,6,980,300,840,410,1620,0,1060,58,41,60,Medium,Sedang,IMG-HJ-00012.jpg
OBS-HJ-00013,2026-03-13,HJ-G-1415,Hutan,-3.474324,138.513081,78,51,Ya,Rendah,6.1,313,0,0,6,1,15,0,0,100,290,1040,2580,760,2020,82,15,56,Very High,Sedang,IMG-HJ-00013.jpg
OBS-HJ-00014,2026-06-19,HJ-G-1582,Sawah,-3.471622,138.528417,29,31,Ya,Tinggi,12.0,95,1,1,0,0,19,2,810,0,930,2330,1800,1140,1750,55,19,44,Medium,Rendah,IMG-HJ-00014.jpg
OBS-HJ-00015,2025-10-30,HJ-G-1805,Hutan,-3.467117,138.50406,69,61,Ya,Sedang,12.7,249,3,0,2,1,34,0,0,1140,1410,1710,3860,1620,3300,67,34,50,High,Rendah,IMG-HJ-00015.jpg
OBS-HJ-00016,2025-11-30,HJ-G-0163,Belukar/Lahan Terbuka,-3.496847,138.511276,10,22,Tidak,Rendah,2.5,324,6,0,0,0,15,4,1700,1710,1930,140,2180,140,1950,47,15,43,Medium,Rendah,IMG-HJ-00016.jpg
OBS-HJ-00017,2026-02-13,HJ-G-0532,Permukiman,-3.490541,138.528417,55,51,Ya,Sedang,3.4,302,0,0,9,0,40,3,2300,900,1080,1600,200,0,460,76,40,65,High,Sedang,IMG-HJ-00017.jpg
OBS-HJ-00018,2025-11-01,HJ-G-0571,Permukiman,-3.48964,138.518493,27,3,Tidak,Rendah,5.4,281,7,2,3,1,48,6,1420,800,1200,500,1300,0,870,44,48,53,Medium,Sedang,IMG-HJ-00018.jpg
OBS-HJ-00019,2026-04-15,HJ-G-1956,Hutan,-3.464414,138.504962,30,49,Tidak,Rendah,9.7,200,4,0,2,0,50,0,0,1340,1630,2000,3970,1870,3440,44,50,39,Medium,Rendah,IMG-HJ-00019.jpg
OBS-HJ-00020,2026-01-10,HJ-G-2209,Hutan,-3.45991,138.507668,49,61,Ya,Sedang,30.3,379,0,0,10,1,16,0,0,1730,1990,2500,4110,2310,3650,71,16,49,High,Rendah,IMG-HJ-00020.jpg
OBS-HJ-00021,2026-02-03,HJ-G-1161,Hutan,-3.478829,138.509472,59,62,Ya,Rendah,3.9,399,0,0,2,1,34,0,0,100,20,450,2640,200,2050,84,34,61,Very High,Sedang,IMG-HJ-00021.jpg
OBS-HJ-00022,2026-02-10,HJ-G-1585,Sawah,-3.471622,138.531123,36,64,Ya,Tinggi,25.2,379,4,1,0,0,27,1,1080,0,760,2560,1730,1040,1820,65,27,50,High,Rendah,IMG-HJ-00022.jpg
OBS-HJ-00023,2026-04-09,HJ-G-1515,Hutan,-3.472523,138.513081,57,65,Tidak,Rendah,7.3,195,0,0,7,1,11,0,0,280,490,1240,2700,950,2170,60,11,41,Medium,Rendah,IMG-HJ-00023.jpg
OBS-HJ-00024,2026-03-23,HJ-G-1501,Hutan,-3.472523,138.500451,29,67,Ya,Rendah,2.9,291,0,0,3,1,16,0,0,1140,1140,1250,3860,1350,3270,59,16,42,Medium,Rendah,IMG-HJ-00024.jpg
OBS-HJ-00025,2026-01-29,HJ-G-1358,Hutan,-3.475225,138.506766,79,60,Ya,Sedang,16.1,395,7,2,7,4,77,0,0,400,490,800,3110,670,2510,81,77,68,Very High,Sedang,IMG-HJ-00025.jpg
OBS-HJ-00026,2026-03-09,HJ-G-0788,Permukiman,-3.486036,138.533829,25,11,Tidak,Rendah,1.1,281,5,1,2,1,65,4,2260,610,760,2220,100,0,880,54,65,58,Medium,Sedang,IMG-HJ-00026.jpg
OBS-HJ-00027,2026-02-18,HJ-G-0974,Sawah,-3.482432,138.5212,53,36,Ya,Tinggi,14.8,327,0,0,1,0,4,2,1120,0,350,980,1340,100,750,78,4,56,High,Sedang,IMG-HJ-00027.jpg
OBS-HJ-00028,2026-04-16,HJ-G-1170,Sawah,-3.478829,138.517591,68,79,Ya,Tinggi,20.5,172,0,0,4,0,11,1,610,0,160,920,1890,450,1320,84,11,59,Very High,Sedang,IMG-HJ-00028.jpg
OBS-HJ-00029,2026-01-19,HJ-G-1756,Hutan,-3.468018,138.504962,45,58,Tidak,Rendah,17.6,372,0,0,1,0,26,0,0,1000,1280,1600,3720,1490,3160,49,26,37,Medium,Rendah,IMG-HJ-00029.jpg
OBS-HJ-00030,2026-02-27,HJ-G-1532,Sawah,-3.472523,138.528417,60,53,Tidak,Tinggi,14.4,319,0,0,0,0,10,1,860,0,840,2270,1710,1040,1650,45,10,34,Medium,Rendah,IMG-HJ-00030.jpg
OBS-HJ-00031,2026-02-26,HJ-G-1269,Sawah,-3.477027,138.516689,51,67,Ya,Rendah,23.5,429,0,0,1,0,11,0,400,0,0,990,2080,610,1530,91,11,61,Very High,Sedang,IMG-HJ-00031.jpg
OBS-HJ-00032,2026-03-31,HJ-G-2054,Hutan,-3.462613,138.503157,75,52,Ya,Sedang,4.9,310,0,0,1,0,8,0,0,1610,1900,2220,4250,2120,3720,69,8,46,High,Rendah,IMG-HJ-00032.jpg
OBS-HJ-00033,2026-04-27,HJ-G-0822,Permukiman,-3.485135,138.519396,13,36,Ya,Rendah,1.3,212,1,1,4,1,69,2,1250,300,710,710,1340,0,770,56,69,55,Medium,Sedang,IMG-HJ-00033.jpg
OBS-HJ-00034,2025-12-13,HJ-G-0288,Bekas Tambang,-3.495045,138.533829,81,55,Ya,Sedang,49.8,375,17,1,35,8,85,2,3050,1520,1690,2240,0,140,1230,81,85,74,Very High,Sedang,IMG-HJ-00034.jpg
OBS-HJ-00035,2026-04-19,HJ-G-1523,Sawah,-3.472523,138.520298,42,68,Tidak,Sedang,9.3,236,0,0,0,0,43,1,140,0,600,1630,2140,1200,1750,62,43,51,High,Sedang,IMG-HJ-00035.jpg
OBS-HJ-00036,2026-03-25,HJ-G-0902,Hutan,-3.483333,138.501353,32,63,Ya,Rendah,24.1,311,3,1,4,1,42,0,0,1080,800,220,3300,810,2760,81,42,61,Very High,Sedang,IMG-HJ-00036.jpg
OBS-HJ-00037,2026-04-26,HJ-G-2092,Perkebunan,-3.462613,138.537438,56,27,Ya,Rendah,3.3,218,3,1,4,0,50,0,1630,410,1680,3750,2700,2000,3010,58,50,48,Medium,Rendah,IMG-HJ-00037.jpg
OBS-HJ-00038,2026-03-09,HJ-G-2295,Perkebunan,-3.459009,138.540144,38,48,Ya,Tinggi,4.1,374,2,0,11,0,68,2,2010,890,2130,4240,3130,2400,3500,48,68,50,Medium,Rendah,IMG-HJ-00038.jpg
OBS-HJ-00039,2025-10-29,HJ-G-1109,Hutan,-3.47973,138.507668,72,78,Tidak,Rendah,12.7,268,0,0,5,0,19,0,0,300,20,300,2770,220,2190,70,19,49,High,Rendah,IMG-HJ-00039.jpg
OBS-HJ-00040,2025-11-03,HJ-G-2470,Belukar/Lahan Terbuka,-3.455405,138.517591,10,26,Ya,Rendah,5.4,287,2,0,0,0,31,0,100,1000,2390,3200,3940,2910,3650,53,31,41,Medium,Rendah,IMG-HJ-00040.jpg
OBS-HJ-00041,2025-12-17,HJ-G-1162,Sawah,-3.478829,138.510374,66,62,Ya,Sedang,18.2,289,0,0,7,0,27,1,100,0,70,500,2560,200,1960,92,27,68,Very High,Sedang,IMG-HJ-00041.jpg
OBS-HJ-00042,2026-03-07,HJ-G-0740,Bekas Tambang,-3.486937,138.535634,66,72,Ya,Rendah,38.9,288,22,11,17,20,94,3,2480,760,940,2410,0,100,1070,87,94,83,Very High,Tinggi,IMG-HJ-00042.jpg
OBS-HJ-00043,2026-03-08,HJ-G-0886,Permukiman,-3.484234,138.532025,27,0,Ya,Tinggi,5.8,301,6,1,2,1,54,3,1980,360,500,2060,360,0,750,64,54,60,High,Sedang,IMG-HJ-00043.jpg
OBS-HJ-00044,2025-10-27,HJ-G-1121,Sawah,-3.47973,138.518493,63,52,Ya,Tinggi,9.5,240,2,0,3,0,4,2,730,0,220,920,1750,400,1170,74,4,54,High,Sedang,IMG-HJ-00044.jpg
OBS-HJ-00045,2026-02-15,HJ-G-2479,Belukar/Lahan Terbuka,-3.455405,138.52571,35,28,Tidak,Tinggi,2.0,383,2,1,0,0,1,0,710,800,2590,3540,3610,2940,3530,26,1,17,Low,Sangat Rendah,IMG-HJ-00045.jpg
OBS-HJ-00046,2025-12-11,HJ-G-0287,Bekas Tambang,-3.495045,138.532927,56,55,Ya,Rendah,8.8,372,8,2,27,8,65,2,3000,1490,1670,2140,0,100,1160,78,65,69,High,Sedang,IMG-HJ-00046.jpg
OBS-HJ-00047,2026-05-08,HJ-G-1964,Hutan,-3.464414,138.512179,39,49,Ya,Sedang,8.2,137,0,0,1,0,6,0,0,1140,1400,2060,3410,1810,2960,64,6,43,High,Rendah,IMG-HJ-00047.jpg
OBS-HJ-00048,2025-10-06,HJ-G-0025,Belukar/Lahan Terbuka,-3.49955,138.522102,13,30,Ya,Tinggi,11.2,299,0,0,4,0,6,2,2500,1900,2130,1220,1170,100,1440,37,6,30,Low,Rendah,IMG-HJ-00048.jpg
OBS-HJ-00049,2026-05-14,HJ-G-1759,Hutan,-3.468018,138.507668,61,59,Tidak,Rendah,20.2,195,2,1,6,1,27,0,0,850,1140,1600,3480,1410,2940,48,27,37,Medium,Rendah,IMG-HJ-00049.jpg
OBS-HJ-00050,2025-11-24,HJ-G-1805,Hutan,-3.467117,138.50406,66,50,Ya,Rendah,18.4,332,0,0,4,1,23,0,0,1140,1410,1710,3860,1620,3300,69,23,49,High,Rendah,IMG-HJ-00050.jpg
OBS-HJ-00051,2025-10-05,HJ-G-1054,Hutan,-3.480631,138.503157,67,63,Ya,Rendah,9.8,242,0,0,5,0,14,0,0,810,510,320,3200,630,2630,87,14,59,Very High,Sedang,IMG-HJ-00051.jpg
OBS-HJ-00052,2026-01-03,HJ-G-0693,Bekas Tambang,-3.487838,138.53834,83,57,Ya,Tinggi,54.9,379,12,6,35,9,87,2,2760,980,1180,2700,0,100,1370,85,87,77,Very High,Tinggi,IMG-HJ-00052.jpg
OBS-HJ-00053,2025-11-23,HJ-G-1924,Hutan,-3.465315,138.5212,77,32,Ya,Rendah,13.8,325,3,1,7,1,55,0,0,220,1390,2330,2770,1990,2490,65,55,53,High,Sedang,IMG-HJ-00053.jpg
OBS-HJ-00054,2026-01-22,HJ-G-1276,Sawah,-3.477027,138.523004,91,70,Ya,Tinggi,17.2,392,3,0,0,0,30,1,720,0,280,1490,1560,700,1180,85,30,64,Very High,Sedang,IMG-HJ-00054.jpg
OBS-HJ-00055,2025-12-01,HJ-G-1669,Hutan,-3.46982,138.516689,33,39,Ya,Rendah,11.7,297,0,0,6,1,21,1,0,360,790,1660,2620,1390,2190,65,21,49,High,Rendah,IMG-HJ-00055.jpg
OBS-HJ-00056,2026-06-07,HJ-G-0707,Rawa,-3.486937,138.505864,64,75,Ya,Sedang,7.5,93,0,0,0,0,0,0,500,920,810,0,2730,580,2230,88,0,57,Very High,Sedang,IMG-HJ-00056.jpg
OBS-HJ-00057,2025-10-23,HJ-G-1187,Sawah,-3.478829,138.532927,60,71,Tidak,Sedang,18.7,231,0,0,2,0,2,2,1660,0,20,2340,910,220,1210,72,2,52,High,Sedang,IMG-HJ-00057.jpg
OBS-HJ-00058,2025-12-07,HJ-G-2067,Hutan,-3.462613,138.514885,74,72,Tidak,Rendah,29.5,352,0,0,4,0,35,1,0,900,1570,2340,3380,2060,2990,55,35,45,Medium,Rendah,IMG-HJ-00058.jpg
OBS-HJ-00059,2025-11-30,HJ-G-1125,Sawah,-3.47973,138.522102,50,62,Ya,Sedang,9.0,278,0,0,1,0,10,4,920,0,40,1220,1420,400,930,86,10,68,Very High,Sedang,IMG-HJ-00059.jpg
OBS-HJ-00060,2026-01-31,HJ-G-1693,Sawah,-3.46982,138.53834,46,67,Tidak,Sedang,70.3,425,1,0,0,0,12,3,1770,0,940,3330,1910,1200,2370,53,12,44,Medium,Rendah,IMG-HJ-00060.jpg
OBS-HJ-00061,2026-06-02,HJ-G-0988,Permukiman,-3.482432,138.533829,27,58,Ya,Rendah,3.1,144,1,0,4,2,46,2,1980,220,410,2310,500,0,1020,65,46,56,High,Sedang,IMG-HJ-00061.jpg
OBS-HJ-00062,2025-10-07,HJ-G-0683,Permukiman,-3.487838,138.529319,18,34,Ya,Tinggi,5.4,258,7,0,3,1,58,3,2110,610,800,1700,280,0,380,55,58,55,Medium,Sedang,IMG-HJ-00062.jpg
OBS-HJ-00063,2025-10-30,HJ-G-2119,Hutan,-3.461712,138.516689,55,64,Tidak,Rendah,38.3,204,0,0,4,1,56,0,0,710,1680,2500,3360,2210,3010,46,56,41,Medium,Rendah,IMG-HJ-00063.jpg
OBS-HJ-00064,2026-01-16,HJ-G-0943,Permukiman,-3.483333,138.53834,8,1,Ya,Tinggi,3.7,358,0,0,0,1,74,2,2440,540,760,2770,450,0,1440,59,74,58,Medium,Sedang,IMG-HJ-00064.jpg
OBS-HJ-00065,2026-03-03,HJ-G-1692,Sawah,-3.46982,138.537438,44,27,Tidak,Tinggi,14.3,235,1,0,0,0,1,3,1680,0,900,3240,1900,1200,2310,44,1,36,Medium,Rendah,IMG-HJ-00065.jpg
OBS-HJ-00066,2025-10-02,HJ-G-1535,Sawah,-3.472523,138.531123,52,96,Ya,Tinggi,9.8,228,1,0,0,0,15,1,1120,0,680,2500,1630,950,1730,70,15,51,High,Sedang,IMG-HJ-00066.jpg
OBS-HJ-00067,2026-05-08,HJ-G-0063,Belukar/Lahan Terbuka,-3.498649,138.511276,32,15,Tidak,Sedang,2.4,159,4,1,2,1,59,1,1860,1900,2120,320,2250,320,2070,39,59,40,Low,Rendah,IMG-HJ-00067.jpg
OBS-HJ-00068,2026-04-08,HJ-G-1211,Hutan,-3.477928,138.509472,46,71,Ya,Rendah,14.8,184,0,0,1,0,13,0,0,100,70,540,2690,300,2100,88,13,60,Very High,Sedang,IMG-HJ-00068.jpg
OBS-HJ-00069,2025-10-13,HJ-G-1530,Sawah,-3.472523,138.526613,61,53,Tidak,Sedang,40.6,247,3,1,0,2,69,1,710,0,900,2120,1790,1120,1630,56,69,53,Medium,Sedang,IMG-HJ-00069.jpg
OBS-HJ-00070,2026-05-06,HJ-G-1195,Perkebunan,-3.478829,138.540144,33,42,Tidak,Sedang,6.1,164,1,1,7,1,70,4,2330,280,620,3100,980,200,1820,50,70,56,Medium,Sedang,IMG-HJ-00070.jpg
OBS-HJ-00071,2026-02-13,HJ-G-1215,Sawah,-3.477928,138.513081,38,59,Tidak,Sedang,41.5,356,0,0,2,0,27,0,400,0,100,670,2360,410,1760,72,27,52,High,Sedang,IMG-HJ-00071.jpg
OBS-HJ-00072,2026-03-24,HJ-G-0180,Permukiman,-3.496847,138.526613,46,52,Ya,Tinggi,1.1,256,4,1,1,0,23,0,2620,1600,1780,1520,580,0,1070,57,23,42,Medium,Rendah,IMG-HJ-00072.jpg
OBS-HJ-00073,2026-01-04,HJ-G-0929,Permukiman,-3.483333,138.52571,30,31,Tidak,Sedang,3.5,372,4,2,2,1,38,1,1480,100,290,1430,860,0,430,53,38,44,Medium,Rendah,IMG-HJ-00073.jpg
OBS-HJ-00074,2025-12-30,HJ-G-0559,Rawa,-3.48964,138.507668,83,82,Ya,Sedang,82.0,342,0,0,0,0,19,1,850,1080,1080,0,2500,730,2050,94,19,67,Very High,Sedang,IMG-HJ-00074.jpg
OBS-HJ-00075,2026-04-25,HJ-G-0330,Permukiman,-3.494144,138.526613,6,9,Ya,Tinggi,2.7,195,2,0,1,0,31,2,2440,1300,1480,1430,500,0,770,41,31,38,Medium,Rendah,IMG-HJ-00075.jpg
OBS-HJ-00076,2026-03-28,HJ-G-1385,Sawah,-3.475225,138.531123,33,66,Ya,Tinggi,2.2,274,0,0,1,0,42,3,1280,0,430,2330,1330,670,1450,68,42,60,High,Sedang,IMG-HJ-00076.jpg
OBS-HJ-00077,2025-12-11,HJ-G-1911,Hutan,-3.465315,138.509472,65,42,Ya,Rendah,23.4,339,0,0,10,1,25,0,0,1100,1360,1910,3540,1700,3040,66,25,48,High,Rendah,IMG-HJ-00077.jpg
OBS-HJ-00078,2026-03-18,HJ-G-1020,Sawah,-3.481532,138.517591,59,61,Tidak,Sedang,20.1,348,0,0,1,0,10,2,890,0,440,710,1720,200,1120,64,10,48,High,Rendah,IMG-HJ-00078.jpg
OBS-HJ-00079,2026-06-16,HJ-G-0736,Permukiman,-3.486937,138.532025,0,40,Ya,Tinggi,2.5,84,3,1,7,0,28,2,2200,630,780,2010,100,0,670,62,28,51,High,Sedang,IMG-HJ-00079.jpg
OBS-HJ-00080,2026-02-20,HJ-G-1384,Sawah,-3.475225,138.530221,43,51,Ya,Tinggi,19.6,360,1,0,0,0,59,3,1200,0,480,2250,1360,710,1410,70,59,65,High,Sedang,IMG-HJ-00080.jpg
OBS-HJ-00081,2026-03-12,HJ-G-0015,Belukar/Lahan Terbuka,-3.49955,138.513081,20,20,Tidak,Rendah,4.1,239,1,0,1,0,33,1,2060,1940,2260,500,2090,320,1980,34,33,31,Low,Rendah,IMG-HJ-00081.jpg
OBS-HJ-00082,2026-05-07,HJ-G-0906,Rawa,-3.483333,138.504962,68,79,Ya,Sedang,57.8,153,5,0,5,0,50,0,100,720,490,0,2910,410,2370,90,50,69,Very High,Sedang,IMG-HJ-00082.jpg
OBS-HJ-00083,2026-02-07,HJ-G-0107,Belukar/Lahan Terbuka,-3.497748,138.505864,36,42,Ya,Rendah,7.8,378,1,0,0,0,40,0,1490,1970,1990,140,2790,730,2520,62,40,48,High,Rendah,IMG-HJ-00083.jpg
OBS-HJ-00084,2026-01-27,HJ-G-1041,Permukiman,-3.481532,138.536536,26,19,Tidak,Sedang,5.6,395,9,1,1,0,34,2,2160,280,490,2620,600,0,1330,50,34,44,Medium,Rendah,IMG-HJ-00084.jpg
OBS-HJ-00085,2025-12-05,HJ-G-1329,Sawah,-3.476126,138.52571,39,59,Tidak,Sedang,7.3,389,5,0,0,0,27,4,850,0,490,1780,1480,800,1230,55,27,51,Medium,Sedang,IMG-HJ-00085.jpg
OBS-HJ-00086,2025-12-17,HJ-G-1759,Hutan,-3.468018,138.507668,59,49,Ya,Rendah,76.4,348,1,0,6,1,22,0,0,850,1140,1600,3480,1410,2940,68,22,49,High,Rendah,IMG-HJ-00086.jpg
OBS-HJ-00087,2025-12-27,HJ-G-0550,Belukar/Lahan Terbuka,-3.490541,138.544655,31,6,Tidak,Rendah,7.1,331,1,1,1,0,30,1,3480,1580,1820,3400,500,100,2100,44,30,37,Medium,Rendah,IMG-HJ-00087.jpg
OBS-HJ-00088,2026-01-03,HJ-G-0353,Rawa,-3.493243,138.502255,82,79,Ya,Rendah,49.7,427,1,0,0,0,15,2,910,1720,1600,0,3110,1120,2710,93,15,68,Very High,Sedang,IMG-HJ-00088.jpg
OBS-HJ-00089,2026-04-12,HJ-G-1027,Sawah,-3.481532,138.523906,80,66,Ya,Sedang,49.1,233,2,0,3,0,35,1,1200,0,140,1300,1140,200,670,90,35,68,Very High,Sedang,IMG-HJ-00089.jpg
OBS-HJ-00090,2026-05-31,HJ-G-0936,Permukiman,-3.483333,138.532025,0,47,Ya,Rendah,1.5,140,7,2,2,1,46,3,1910,280,400,2090,450,0,800,63,46,57,High,Sedang,IMG-HJ-00090.jpg
OBS-HJ-00091,2025-11-09,HJ-G-0894,Permukiman,-3.484234,138.539242,0,17,Ya,Tinggi,3.7,313,10,3,5,0,60,4,2580,670,900,2840,410,0,1510,54,60,57,Medium,Sedang,IMG-HJ-00091.jpg
OBS-HJ-00092,2025-11-02,HJ-G-2210,Hutan,-3.45991,138.50857,24,61,Ya,Tinggi,10.4,278,5,0,2,0,47,0,0,1630,1960,2500,4050,2300,3590,63,47,50,High,Rendah,IMG-HJ-00092.jpg
OBS-HJ-00093,2025-11-22,HJ-G-1288,Sawah,-3.477027,138.533829,78,78,Ya,Sedang,57.0,335,2,0,0,0,41,6,1640,0,100,2510,1100,400,1430,99,41,87,Very High,Tinggi,IMG-HJ-00093.jpg
OBS-HJ-00094,2026-02-02,HJ-G-0549,Permukiman,-3.490541,138.543753,16,37,Ya,Sedang,5.0,364,7,0,5,1,56,2,3410,1530,1760,3300,400,0,2000,54,56,51,Medium,Sedang,IMG-HJ-00094.jpg
OBS-HJ-00095,2026-02-07,HJ-G-1915,Hutan,-3.465315,138.513081,52,51,Ya,Rendah,19.8,377,0,0,3,1,12,0,0,1000,1280,1990,3260,1730,2820,61,12,42,High,Rendah,IMG-HJ-00095.jpg
OBS-HJ-00096,2026-06-23,HJ-G-2060,Hutan,-3.462613,138.50857,55,27,Tidak,Tinggi,8.4,100,0,0,3,1,21,0,0,1410,1680,2200,3820,2000,3340,37,21,28,Low,Rendah,IMG-HJ-00096.jpg
OBS-HJ-00097,2026-02-26,HJ-G-1046,Permukiman,-3.481532,138.541046,0,35,Ya,Sedang,7.0,370,3,1,2,2,48,3,2580,570,830,3100,760,0,1780,60,48,56,Medium,Sedang,IMG-HJ-00097.jpg
OBS-HJ-00098,2026-06-25,HJ-G-2366,Hutan,-3.457207,138.513983,40,84,Tidak,Rendah,2.0,113,4,1,4,2,46,0,0,1170,2180,2890,3940,2630,3590,47,46,40,Medium,Rendah,IMG-HJ-00098.jpg
OBS-HJ-00099,2026-06-01,HJ-G-0062,Belukar/Lahan Terbuka,-3.498649,138.510374,13,41,Tidak,Sedang,1.5,130,0,0,4,0,6,1,1800,1920,2110,280,2340,360,2150,37,6,28,Low,Rendah,IMG-HJ-00099.jpg
OBS-HJ-00100,2026-02-03,HJ-G-0069,Belukar/Lahan Terbuka,-3.498649,138.516689,19,28,Ya,Tinggi,14.2,383,1,0,3,0,3,0,2100,1800,2200,710,1680,100,1640,40,3,27,Low,Rendah,IMG-HJ-00100.jpg
OBS-HJ-00101,2025-12-10,HJ-G-1881,Sawah,-3.466216,138.527515,39,40,Tidak,Tinggi,10.2,305,1,0,0,0,37,1,510,0,1480,2690,2400,1750,2340,41,37,36,Medium,Rendah,IMG-HJ-00101.jpg
OBS-HJ-00102,2025-12-08,HJ-G-1043,Permukiman,-3.481532,138.53834,21,39,Tidak,Sedang,3.8,340,2,0,5,0,17,3,2330,360,600,2820,630,0,1510,47,17,41,Medium,Rendah,IMG-HJ-00102.jpg
OBS-HJ-00103,2025-12-20,HJ-G-1843,Perkebunan,-3.467117,138.53834,49,30,Tidak,Tinggi,2.3,335,2,1,19,1,80,1,1710,100,1220,3500,2210,1500,2620,33,80,40,Low,Rendah,IMG-HJ-00103.jpg
OBS-HJ-00104,2025-12-20,HJ-G-1670,Hutan,-3.46982,138.517591,59,73,Ya,Rendah,34.5,289,3,0,6,1,61,1,0,320,800,1700,2560,1410,2140,77,61,65,High,Sedang,IMG-HJ-00104.jpg
OBS-HJ-00105,2026-01-20,HJ-G-0631,Permukiman,-3.488739,138.527515,0,6,Tidak,Tinggi,4.9,310,8,0,2,0,59,3,2080,700,880,1500,360,0,240,38,59,44,Low,Rendah,IMG-HJ-00105.jpg
OBS-HJ-00106,2025-10-05,HJ-G-1519,Hutan,-3.472523,138.516689,47,67,Ya,Rendah,12.1,250,2,0,3,1,10,0,0,140,490,1390,2400,1100,1930,76,10,51,High,Sedang,IMG-HJ-00106.jpg
OBS-HJ-00107,2026-04-19,HJ-G-1499,Perkebunan,-3.473423,138.543753,38,24,Tidak,Tinggi,6.7,205,0,0,13,0,42,0,2470,410,1100,3680,1700,850,2490,38,42,33,Low,Rendah,IMG-HJ-00107.jpg
